Puesto,Nombre,Trofeos,Donaciones,Rol
#49,['Nova l Afflatus'],['4106'],['0'],['Miembro']
#50,['000000'],['2954'],['0'],['Miembro']
#1,['Nova l Rubén'],['6672'],['643'],['Veterano']
#2,['corvtte89'],['6642'],['10'],['Colíder']
#3,['☠AcMiLaN ☠'],['6612'],['206'],['Colíder']
#4,['beast '],['6565'],['112'],['Colíder']
#5,['Latini™'],['6411'],['283'],['Colíder']
#6,"[""yousefq822'""]",['6297'],['238'],['Veterano']
#7,['Nova l Matte™'],['6274'],['8'],['Veterano']
#8,['RedBull'],['6273'],['160'],['Colíder']
#9,['Latini 4'],['6236'],['191'],['Colíder']
#10,['Eptic'],['6216'],['32'],['Veterano']
#11,['TQ ❤Cuchii Cuu❤'],['6163'],['57'],['Veterano']
#12,['Latini 3'],['6146'],['56'],['Colíder']
#13,['RedBull™️'],['6136'],['360'],['Colíder']
#14,['PaTRoN'],['6108'],['0'],['Veterano']
#15,['☆Yousefq822☆'],['6023'],['66'],['Colíder']
#16,['falco'],['6022'],['28'],['Veterano']
#17,['✨RedBull✨'],['5975'],['278'],['Colíder']
#18,['Bu sana 7'],['5957'],['74'],['Veterano']
#19,['Curtis'],['5940'],['16'],['Veterano']
#20,['corvtte1™'],['5926'],['0'],['Veterano']
#21,['corvtte2™'],['5919'],['9'],['Colíder']
#22,['Toni'],['5918'],['0'],['Colíder']
#23,['⚡️RedBull⚡️'],['5914'],['115'],['Colíder']
#24,['Q8Team'],['5904'],['748'],['Líder']
#25,['FaithlesX'],['5875'],['183'],['Miembro']
#26,['casukiller'],['5857'],['16'],['Miembro']
#27,['ALJASSMY85'],['5849'],['447'],['Veterano']
#28,['Juan..'],['5831'],['3'],['Miembro']
#29,['やみひかり'],['5830'],['889'],['Veterano']
#30,['暗闇のそると'],['5812'],['0'],['Miembro']
#31,['abdallahbohamad'],['5764'],['304'],['Colíder']
#32,['Will'],['5749'],['162'],['Veterano']
#33,['SchmidiRadlos'],['5714'],['64'],['Veterano']
#34,['BornFromHell'],['5703'],['148'],['Veterano']
#35,['從小就壞的石頭'],['5702'],['110'],['Veterano']
#36,['RUBÉN'],['5695'],['0'],['Miembro']
#37,['Sourosh'],['5677'],['24'],['Miembro']
#38,['™Gameon™⬆☣⬇⚠'],['5665'],['52'],['Miembro']
#39,['Ray'],['5611'],['10'],['Miembro']
#40,['Tommyla'],['5591'],['64'],['Colíder']
#41,['♣ธKญ♣'],['5535'],['196'],['Colíder']
#42,['KaRaR'],['5518'],['544'],['Colíder']
#43,['☆Nova I Grey☆'],['5505'],['16'],['Miembro']
#44,['faras'],['5466'],['42'],['Colíder']
#45,['bobby6'],['5404'],['458'],['Veterano']
#46,['CaptanPrice'],['5389'],['347'],['Colíder']
#47,['Latini 2'],['5271'],['74'],['Colíder']
#48,['༺༉༼ KaRaR ༽༉༻'],['5104'],['288'],['Colíder']
#1,['Zub-Zero!'],['6602'],['0'],['Colíder']
#2,['GerasRepXD'],['6513'],['1110'],['Colíder']
#3,['mars'],['6508'],['83'],['Miembro']
#4,['Narayan'],['6485'],['48'],['Veterano']
#5,['iDelta Force!'],['6404'],['76'],['Colíder']
#6,['Santi Piazza'],['6338'],['188'],['Miembro']
#7,['Lion MG'],['6305'],['0'],['Veterano']
#8,['⭐DeltaIsGod⭐'],['6285'],['316'],['Colíder']
#9,['Edwin;)'],['6216'],['0'],['Colíder']
#10,['michael'],['6165'],['0'],['Colíder']
#11,['linken'],['6141'],['18'],['Veterano']
#12,['Alain'],['6066'],['146'],['Colíder']
#13,['zSapoPvPYoutube'],['6033'],['0'],['Veterano']
#14,['FRAXUSIO'],['6017'],['28'],['Colíder']
#15,['stanislov'],['6006'],['20'],['Miembro']
#16,['[ BLACK STORM ]'],['5994'],['700'],['Colíder']
#17,['MarcoGF29*-*/'],['5992'],['68'],['Miembro']
#18,['marcosalan25'],['5970'],['108'],['Veterano']
#19,['Slendy'],['5969'],['116'],['Miembro']
#20,['sacri'],['5960'],['270'],['Veterano']
#21,['Mr. ✌'],['5959'],['442'],['Veterano']
#22,['•Heisenberg•'],['5951'],['20'],['Colíder']
#23,['José DavidGui7'],['5941'],['0'],['Veterano']
#24,['Gomez™'],['5940'],['56'],['Miembro']
